Sr.No,Product Name,Price,Rating,Url,No. of Reviews
0,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",Rs998,3.9 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NjQ0MDEyNzg4MDQ4NzE6MTY3NTQwMTE5MTpzcF9hdGY6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbag%26qid%3D1675401191%26sprefix%3Dba%252Caps%252C283ref%253Dsr_pg_1%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA385M0TPSNV7VS,684
1,EUME Virgo Polyester 29Ltr Laptop Backpack for Men & Women - Yellow Series,"Rs1,448",4.2 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NjQ0MDEyNzg4MDQ4NzE6MTY3NTQwMTE5MTpzcF9hdGY6MjAxMTQ0MTQyMjk2OTg6OjA6Og&url=%2FEUME-Virgo-29Ltr-Laptop-Backpack%2Fdp%2FB08R563J3T%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbag%26qid%3D1675401191%26sprefix%3Dba%252Caps%252C283ref%253Dsr_pg_1%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,495
2,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),Rs565,4.3 out of 5 stars,https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-3,"9,226"
3,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"Rs1,299",4.1 out of 5 stars,https://amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-4,"51,370"
4,Sfane polyester 23 cms Duffle Bag(BG - 05 HALF LTSHOE COMPTT_grey),Rs377,4.3 out of 5 stars,https://amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-5,"6,317"
5,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",Rs299,4.1 out of 5 stars,https://amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-6,"7,630"
6,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),Rs499,3.9 out of 5 stars,https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-7,462
7,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black),Rs498,4.3 out of 5 stars,https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07NJRPJ6Q/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-8,"12,103"
8,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,Rs889,4.3 out of 5 stars,https://amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-9,"5,318"
9,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",Rs699,3.9 out of 5 stars,https://amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-10,"2,184"
10,Urban Tribe Amigo Backpack 15.6 Inch| Water Repellent |31 litres | Laptop Backpack for Men and Women,"Rs1,998",3.9 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NjQ0MDEyNzg4MDQ4NzE6MTY3NTQwMTE5MTpzcF9tdGY6MjAxMDQxNDAyNjMzOTg6OjA6Og&url=%2FUrban-Backpack-Repellent-litres-Laptop%2Fdp%2FB08X2FD3T8%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbag%26qid%3D1675401191%26sprefix%3Dba%252Caps%252C283ref%253Dsr_pg_1%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA385M0TPSNV7VS,585
11,Urban Tribe Jumbo Backpack with 17.3 inch Gaming Laptop Compartment - 29L Bag with Anti Theft Lock Zippers,"Rs1,498",4.1 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NjQ0MDEyNzg4MDQ4NzE6MTY3NTQwMTE5MTpzcF9tdGY6MjAxMDQxNDAyNjM4OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Jumbo%2Fdp%2FB01MSRADRY%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbag%26qid%3D1675401191%26sprefix%3Dba%252Caps%252C283ref%253Dsr_pg_1%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA385M0TPSNV7VS,198
12,Skybags Brat Black 46 Cms Casual Backpack,Rs669,4.1 out of 5 stars,https://amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-13,"3,368"
13,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",Rs689,3.9 out of 5 stars,https://amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-14,"2,692"
14,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,Rs239,4.0 out of 5 stars,https://amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-15,"1,983"
15,Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,Rs510,5.0 out of 5 stars,https://amazon.in/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QQZYN/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-16,2
16,"Safari Hitech 35 Ltrs Water Resistant Backpack - Blue, L (Hitech19Cbblu)",Rs899,4.0 out of 5 stars,https://amazon.in/Safari-HiTech-Water-Resistant-Backpack/dp/B09B27B1Q6/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-17,779
17,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,Rs999,4.0 out of 5 stars,https://amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-18,"5,790"
18,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"Rs1,247",4.3 out of 5 stars,https://amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-19,"4,878"
19,Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),Rs565,4.0 out of 5 stars,https://amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-20,"6,987"
20,"Wenger 17.5"" ScanSmart Laptop Backpack, 30 Litres, Black, Swiss Designed-blend of style & function, 612014","Rs5,600",4.0 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NjQ0MDEyNzg4MDQ4NzE6MTY3NTQwMTE5MTpzcF9idGY6MjAwNzg5MjA3NzkzOTg6OjA6Og&url=%2FScanSmart-Backpack-Designed-blend-function-612014%2Fdp%2FB09V1GJ7D6%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbag%26qid%3D1675401191%26sprefix%3Dba%252Caps%252C283ref%253Dsr_pg_1%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,21
21,Chris & Kate Grey Khadi Water Resistant Polyester Backpack for School | College | Office Use With Laptop Compartment,Rs649,5.0 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NjQ0MDEyNzg4MDQ4NzE6MTY3NTQwMTE5MTpzcF9idGY6MjAwOTE3MDIwOTI5OTg6OjA6Og&url=%2FChris-Kate-Resistant-Polyester-Compartment%2Fdp%2FB0BKZLJZVF%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbag%26qid%3D1675401191%26sprefix%3Dba%252Caps%252C283ref%253Dsr_pg_1%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,1
